Source,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
A, 1.2144767917032415,0.8636977723771803,-0.9995289388878491,-0.2859703720958053,0.6126974960622281,-0.5799152754596154,0.5869350541805313,1.0548845037267154
B, -0.2291004184538573,0.15007069972003395,0.7034664541407478,-0.6936599452091295,0.6870210486472034,-0.6714768419715003,-1.1341094844347042,0.14488412204624762
D, -0.6365912262911987,0.41491645118930826,0.16176074700575355,1.4545416791907377,-0.6936503805334354,0.4358341578882089,0.1674741010679173,-0.5264482060496981
E, -3.1560617049523656,-0.6353325874509569,-0.6075969799746241,-0.05209072798144132,-0.1822137530458232,0.5376985472237837,-0.3583002623688446,0.6115971507512984
F, -0.11581165054644212,-0.6982469907956657,0.2821890213655317,0.017631768031118187,-0.7438000973489501,0.26549601502273273,0.09119587176247619,-0.53900626130407
G, 2.294419069424104,0.27492571840761326,0.2494376912344263,0.3628809043437108,0.04059375687692465,0.2169999769862066,-0.1001084595269171,-0.022462400713281996
