Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry
F,427100,510600,128,500,144,620,62,94,5,67,320,997723
F,427100,510600,89,161,32.0205,110,28,46,2.2571,56.1,129,999033.6224
F,427100,510600,352,780,2860,1290,360,8.7,4.16,79.9,767,993110.24
F,427100,510600,318,645,88,696,92,10.2,2.8,67.3,767,996928.7
F,427100,510600,31.9,92,169,277,21.3,10.6,0.54533,14.7,52,999034.9547
F,427100,510600,178,408,50,538,53,8.9,3.9,41.6,375,998015.6
F,427100,510600,186,233,39,746,78,9.6,4.89,80.4,442,997822.11
F,427100,510600,279,760,3220,1360,458,273,20.7,465,1020,991818.3
F,427100,510600,335,780,2290,1030,340,232,23.5,355,930,993359.5
F,427100,510600,344,445,167,1121,73,89,3.75,49,263,997116.25
F,427100,510600,590,121,168,3310,128,11.2,0.69,21.1,65,995291.01
F,427100,510600,177,1510,429,840,219,357,20.8,248,775,995020.2
F,427100,510600,318,149,280,273,29,4.6,0.63282,12.6,96,998574.1672
F,427100,510600,325,780,460,730,66,11.5,5,60,620,996570.5
F,427100,510600,1320,283,25.093,199,52,27,1.6593,12.3,77,997694.9477
F,427100,510600,216,1002,376,1228,274,333,23.9,285,1000,994871.1
F,427100,510600,100,395,585,707,99,152,5.3,97,297,997285.7
F,427100,510600,144,509,250,535,149,142,14.9,169,397,997386.1
F,427100,510600,293,869,1040,922,388,364,34.8,469,820,994411.2
F,427100,510600,162,934,410,759,631,251,21,267,996,995169
F,427100,510600,481,1200,198,1141,425,399,32.2,408,1510,993740.8
F,427100,510600,53.1,424,72,520,55,236,7.6,80,232,998021.3
F,427100,510600,66,779,140,541,161,293,20,249,493,996898
F,427100,510600,275,96,2.1395,306,58.9,4.2,0.2,14.3,42.6,998942.6605
F,427100,510600,201,355,171,137,39,22.6,0.96,22.4,165,998599.04
F,427100,510600,302,312,201,920,226,49.6,2.3,53,282,997265.1
F,427100,510600,389,125,71,730,40.5,17,1.49,10.5,105,998232.51
F,427100,510600,1970,527,645,740,276,77.2,3.2,191,73,995114.6
F,427100,510600,195,24.7,6.42,406,19.6,3.17,0.091815,2.43,7.9,999037.6882
F,427100,510600,43,179,32.883,260,4.60445,4.54,3.14,9,67,999140.8326
F,427100,510600,720,86,78,180,14,12.1,0.595,5.4,19.6,998504.305
F,427100,510600,26.6,153,101,630,31,47.7,4.74,42.5,60.1,998569.36
F,427100,510600,47,212,84,416,31,65,5.07,46,47.6,998734.33
F,427100,510600,52.2,198,125,604,30.7,54.4,4.07,35.4,50.7,998514.53
F,427100,510600,63.1,700,228,859,86,107,8.6,68.2,181,997330.1
F,427100,510600,433,40.4,8.6705,126,13.7,14,0.52,18.1375,12.7,998989.872
F,427100,510600,130,150,36,841,13.1,7.7,1.92,12.3,84.7,998369.28
F,427100,510600,31,175,151,340,9.2,29,1.75,12.4,52,998938.65
F,427100,510600,560,46.5,6.0425,158,5.4,49.1,0.29,2.27,10.6,998857.7975
F,427100,510600,144.9,429,96,970,29.9,30,3.3,47,110.3,997695.6
F,427100,510600,42.1,219,69,219,22,8.4,2.41,14.6,96.4,998972.09
F,427100,510600,53.2,217,56,277,16.5,12.1,2.51,17.2,101.9,998905.59
F,427100,510600,99,362,193,237,13.7,59.8,2.89,19.1,167,998465.51
F,427100,510600,103,47,6.2565,890,34,6.67,0.66,11,12.48,998509.9335
F,427100,510600,30,12.3,4.3259,428,12.9,1.28,0.07023,3.2,1.8,999183.1239
F,427100,510600,44,60,12.048,304,46,3.9,0.16189,6.1,8.1,999132.6901
F,427100,510600,404,825,402,430,13.4,19.6,1.23,15.3,231,997192.47
F,427100,510600,44,19.2,4.88395,149,4.7,3.5,0.05578,0.82,3.33,999467.5103
F,427100,510600,120,424,206,1305,87.2,94.6,9.59,115.9,122.3,997040.41
F,427100,510600,41.2,30,5.219,341,44.9,1.93,0.098905,6.8,10.3,999160.5521
F,427100,510600,52,105,15,242,12.8,14.3,0.073375,4,21.3,999211.5266
F,427100,510600,450,360,920,208,152,57,3.8,106,31,997306.2
F,427100,510600,7.5,21.4,5.3495,48,4.7,0.07006,0.08345,0.35,3.75,999608.797
F,427100,510600,67,46,7.785,116,11.4,3.14,0.115135,2.72,10.2,999380.6399
F,427100,510600,22,42,5.2025,144,8.6,3.66,0.16,1.58,8.8,999446.9975
F,427100,510600,11.7,50,5.0075,740,9.5,29.3,0.58,40,12,998794.9125
F,427100,510600,28,68.025,10.992,280,112,0.57445,0.22016,17.1,29.4,999124.6884
F,427100,510600,720,590,1300,1100,416,137,4.65,361,127,994884.35
F,427100,510600,256,38,7.330333333,340,46,2.43,0.157255,2.1,9.1,998994.8824
F,427100,510600,7.0605,1540,77.20666667,3.40195,16.216,0.7743,1.42925,2.60635,150,997811.305
F,427100,510600,390,1350,16.491,0.9618,3.0212,35,0.44488,0.6131,188,997603.468
F,427100,510600,28.5,142,100,780,33.3,44.4,5.38,50.7,62.6,998433.12
F,427100,510600,380,1140,41.14666667,1.4307,6.1095,93,0.70245,110,500,997237.6107
F,427100,510600,57,302,120,1000,1.77125,48.5,7,53.3,115,997969.4288
F,427100,510600,240,1100,14.85733333,3600,2.2432,76,23,137,307,994103.8995
F,427100,510600,470,28.614,8.699333333,0.7951,2.27965,20,0.221365,27.2865,34,999134.1041
F,427100,510600,1.0084,3.5048,15.019,8700,1.87785,28,0.252175,0.49599,169,990733.8418
F,427100,510600,0.66395,1030,2300,0.311425,1.26805,25,0.22866,0.33269,176,996030.1952
F,427100,510600,427,168,8.277333333,0.409405,1.67965,44.3,0.16551,0.31675,33,999010.8514
F,427100,510600,189,530,18.65133333,0.7979,2.48495,38.2,0.265065,36,136,998660.6008
F,427100,510600,1.0732,1220,15.421,0.7599,2.5178,29,0.354385,78,230,998024.8737
F,427100,510600,102,670,29.59866667,630,3.1487,47,0.42802,52,213,997853.8246
F,427100,510600,280,800,15.799,0.6364,2.36685,54,0.351565,0.5462,358,998142.3
F,427100,510600,0.6015,140,8.717,1810,1.90945,15.4,0.21227,34,41,997637.1598
F,427100,510600,37.6,16,4.681666667,830,48,1.21,0.43,9.6,11.5,998698.9783
F,427100,510600,84,143,14.47366667,390,127,8.8,0.291715,39,73,998759.4346
F,427100,510600,5.2185,1500,76.34,3.1552,10.7835,66,1.3077,2.23995,2.5455,997882.4097
F,427100,510600,152,46,6.409666667,330,17.7,12.1,0.42,5.4,18.4,999113.5703
F,427100,510600,186,451,248,1420,90.3,93,9.57,121.1,150,996785.03
F,427100,510600,0.6428,2.90445,10.80566667,0.55425,1.4177,0.150355,0.18454,32,29,999604.3402
F,427100,510600,197,1.7603,7.164666667,540,76,18,0.1489,10,26,998792.9261
F,427100,510600,206,406,11.638,0.54405,230,63,0.272295,103,79,998537.5457
F,427100,510600,143,32.1,44,68,30,1.23,0.12191,1.52,9.1,999338.9281
F,427100,510600,219,62,8.294666667,210,1.33065,5.9,0.18401,5.3,15.9,999185.0907
F,427100,510600,65,41.8,5.339666667,200,1.50105,3.18,0.11864,2.87,11.6,999362.5906
F,427100,510600,7.6,39.3,5.96,887,20.5,13,1,47.1,16.8,998690.74
F,427100,510600,28,68.025,7.328,280,110,0.57445,0.22016,16.8,29,999132.0524
F,427100,510600,262,271,1700,1030,0.308005,25,2.2,24,134.4,996187.092
F,427100,510600,181,711,250,334,0.385915,37.6,3.49,27.4,307,997682.1241
F,427100,510600,222,782,21.0325,493,0.9848,75,5.99,32.2,292,997679.7927
F,427100,510600,228,433,950,689,0.58235,77.3,3.97,25.5,189.4,996978.2477
F,427100,510600,500,780,420,1820,0.97715,24.5,2.25,32.2,182,995789.0729
F,427100,510600,280,1430,159,773,0.5649,231,8.03,42.9,355,996291.5051
F,427100,510600,185,270,166,301,0.54875,17.8,5.04,17,106,998593.6113
F,427100,510600,180,169,4.3084,322,0.180635,0.56,0.169,14.3,53,998918.482
F,427100,510600,843,450,57.785,578,0.25567,55,1.06,21.2,82.8,997519.8993
F,427100,510600,265,357,490,351,0.73935,14.1,2.09,13.9,139,998020.1707
F,427100,510600,251.6,241,234,557,0.305345,10,2.3,12.6,148.5,998212.6947
F,427100,510600,101,408,453,339,0.30348,32.7,2.49,29,144,998144.5065
F,427100,510600,141.4,790,620,289,0.204165,38.3,2.96,25.9,300,997407.2358
F,427100,510600,212,790,437,447,0.315115,32.3,3.44,22.3,249,997448.6449
F,427100,510600,31.7,178,98,137,0.232965,3.52,1.41,6.37,82,999136.767
F,427100,510600,142,485,96,327,0.219425,15.8,3.48,19.6,253,998294.9006
F,427100,510600,46.1,222,195,522,0.52415,24,1.201,10.58,133.4,998519.1949
F,427100,510600,238,351,308,831,0.552,27.4,3.41,23.9,213,997619.738
F,427100,510600,560,770,920,640,0.410815,168,7.1,47.3,413,995960.1892
F,427100,510600,252,123,69,395,0.244445,34.6,1.18,5.7,68,998717.2756
F,427100,510600,179,190,234,1143,0.421395,24.3,1.4,10.5,97.1,997771.2786
F,427100,510600,356,535,4600,531,0.55445,102,5.69,26.3,225,993149.4556
F,427100,510600,362,535,2880,842,0.44444,48.9,5.06,36.8,260,994598.7956
F,427100,510600,440,165,62,800,0.477525,17.3,0.25,6.36,65,998115.6125
F,427100,510600,1520,168,51,108,1.02835,8.4,0.23851,8,49,997636.3331
F,427100,510600,960,370,41,190,1700,49,0.063495,9.2,70,996300.7365
F,427100,510600,950,920,36.825,261,2080,86,0.336535,28,320,994987.8385
F,427100,510600,63.2,118,19,1940,156,12.6,0.73,5.21,60.1,997313.16
F,427100,510600,180,1510,218,325,720,98,3.36,31.1,353,996245.54
G,435400,502200,40,36,3.95365,25,350,3.1,0.151955,2.33,23.3,999026.1644
G,435400,502200,62.9,443,71,85,471,50,3.54,19.6,38,998454.96
G,435400,502200,640,124,24,30.4,490,9.5,0.281835,1.69,8.4,998258.7282
G,435400,502200,860,91,9.0225,26,300,17.2,0.95,5.19,10.18,998250.4575
G,435400,502200,540,162,11.4305,65,670,20,0.30081,0.302175,33,998010.9665
G,435400,502200,15,56.5,12.9,16.2,423,6.2,0.13877,1.85,3.82,999249.3912
G,435400,502200,7.9,57,5.696,11.3,149,16.1,0.36,1.41,6,999486.234
G,435400,502200,50,66,17,14.8,153,8.1,0.238355,1.67,12.9,999392.2916
G,435400,502200,648,153,1060,42,600,88,1.74,11.5,59,996886.76
G,435400,502200,172,2940,1860,535,990,240,12,111,404,992148
G,435400,502200,0.2519,86,16,25.8,430,22,0.16622,1.54,3.4,999034.8419
G,435400,502200,71,131,41,57,184,18,7,13.1,95,999086.9
G,435400,502200,5.2,58,3.0519,16.9,296,28.3,0.31,3.3,86,999288.9381
G,435400,502200,51,470,147,154,203,16.5,6.1,30.3,740,997772.1
G,435400,502200,373,24,12.7,3.6,177,1.08,0.093955,0.33,1.38,999023.816
G,435400,502200,74,22.6,2.13355,6.6,85,0.027603,0.0825,0.18,0.44,999556.9363
G,435400,502200,138,219,9.8,82,542,8.6,0.107015,2.21,10.8,998737.483
G,435400,502200,367,112,60,32,540,12.9,1.23,5.5,40,998478.37
G,435400,502200,7.6,617,2380,310,458,97,12.3,52,184,995570.1
G,435400,502200,28,59,5.0345,7.7,693,2.8,0.12427,0.87,2.39,998854.0812
G,435400,502200,52,19.8,9.4145,0.9215,266,0.097045,0.301865,0.240225,0.309495,999290.9154
G,435400,502200,234,119,19,39,389,45,1.12,4.8,19.2,998689.88
G,435400,502200,77,410,560,156,192,113,5,15.2,61,997950.8
G,435400,502200,3.8138,240,590,240,9.761,50,13.1,15,82,998393.3252
G,435400,502200,1080,55,26.9525,24,253,6.7,2.3,4.3,10.8,998036.9475
G,435400,502200,140,136.78,68.04,2.3567,156,29,8.4,14.6,22.1,999055.7233
G,435400,502200,209,480,650,30,137,46,0.26,14.1,33,997916.64
G,435400,502200,49,740,750,530,80,36,5.6,22.1,94,997373.3
G,435400,502200,2170,610,170,204,192,42,1.76,11.5,52,996046.74
G,435400,502200,4.10625,550,41.692,870,3.68055,66,8.5,40,67,998009.0212
G,435400,502200,26,468,356,359,66,84.3,2.07,51,70.3,998188.33
G,435400,502200,45,370,510,137,72.7,38.1,0.39867,18.2,63,998445.6013
G,435400,502200,21.1,876,686,179,110,71.4,4.28,30.8,75,997600.42
G,435400,502200,9.2,502,690,93,55,36.5,3.79,14.1,54,998232.41
G,435400,502200,20.9,940,1060,222,124,75.6,4.81,32.4,86.5,997100.79
G,435400,502200,650,211,280,32,276,7.8,0.38,6,20.5,997966.32
G,435400,502200,56,263,1270,550,114,27.7,0.91,8.7,19.2,997387.49
G,435400,502200,97,1560,1230,162,270,111,7.2,33,91,996121.8
G,435400,502200,441,580,4200,98,285,33.3,0.87,10.4,30.1,993924.33
G,435400,502200,1250,270,2300,25,247,13.2,0.368,2.71,8.9,995323.822
G,435400,502200,67,1090,33000,112,436,70,11.1,93.8,90.5,964616.6
G,435400,502200,8.3,320,930,104,52,24.2,3.32,15.9,56.9,998219.38
G,435400,502200,1.48315,274,1120,83,152,18,0.5536,7.2,24,997919.7633
G,435400,502200,146,123,360,29,202,2.2,0.306425,1.83,8.7,998646.9636
G,435400,502200,114,94.9,380,23.1,178,4.9,0.352075,0.46368,5,998857.2842
G,435400,502200,175,231,1320,47.8,256,31.2,0.49,7.2,18.5,997351.81
G,435400,502200,68,63,8.25,8.8,456,1.9,0.10092,0.82,3.3,999044.8291
G,435400,502200,0.79175,54,94,42,141,13.7,0.32306,8.2,11.3,999244.6852
G,435400,502200,486,2540,780,422,210,109,12.8,55.1,229,994603.1
G,435400,502200,37.2,170,81,154.7,20.2,4.6,0.62,8.37,73.8,999145.51
G,435400,502200,5.9,590,560,279,66,18.9,7.5,19.6,88,998083.1
G,435400,502200,25.8,500,18.548,175,1240,26.7,0.72,39.2,46.3,997581.732
G,435400,502200,150,980,67,250,1540,19.4,1.07,42,39,996525.53
G,435400,502200,2.22,5.1,7.7215,5.2,174,0.08827,0.084775,0.83,1.12,999512.6355
G,435400,502200,19.2,214,303,84,174,71,2.24,17,101,998564.56
G,435400,502200,77,312,26.377,119,267,104,1.6,33.9,97,998598.123
G,435400,502200,34,1470,9.5485,142,1940,16,0.38,70,52.4,995908.6715
G,435400,502200,23.7,1270,8.9,111,1680,30.9,0.14935,31.5,26,996474.8507
G,435400,502200,4.54,49.9,6.16,16.2,98,10.1,0.10361,6.6,9.1,999500.2964
G,435400,502200,46,2800,21.6685,127,1460,31,0.23357,30,37,995017.0979
G,435400,502200,20.3,1210,24,80,1510,12.3,0.127995,14.6,14.2,996805.472
G,435400,502200,43,1950,13.837,107,2350,11.8,0.71,21.4,24.9,995131.353
G,435400,502200,146,1420,300,533,248,60.1,14.8,58.5,171,996672.6
G,435400,502200,63.6,336,34.9095,100,348,2.2,0.39467,11,9.5,998789.2958
G,435400,502200,55,188,15.245,87,240,77,0.204145,19.4,66,998991.1509
G,435400,502200,96,85,20.016,52,256.1,23,0.5,12.7,26,999008.684
G,435400,502200,115,19.8,6.9345,40,165,5,0.092155,4,8,999298.1733
G,435400,502200,61,106,21.8545,52,179,44,0.291865,7.1,31,999145.7536
G,435400,502200,35,128,48.52,2.0839,153,2.24535,0.6488,8.8,29,999322.702
G,435400,502200,15.5,243,8.248,171,666,124,1.04,23.9,45,998377.312
G,435400,502200,0.27652,370,7.3335,420,1300,1.24,0.10553,0.62,1.06,997566.3645
G,435400,502200,2.4,146,84,0.286345,490,0.031782,0.07069,4.5,2.5,998940.2112
G,435400,502200,4.8,246,11.228,144,1810,2.2,0.091015,0.95,1.65,997463.081
G,435400,502200,128,206,13.1275,36,650,18.7,0.31,7.8,12.7,998614.3625
G,435400,502200,24.1,159,10.5355,78,610,59.4,0.45,13.1,20.8,998708.6145
G,435400,502200,43,1070,13.258,165,1230,13.1,0.35,44.9,40.4,996959.992
G,435400,502200,8,63,9.986,11.2,133,10.7,0.65,6.18,26.5,999432.784
G,435400,502200,37,1640,59,114,1830,14.1,0.63,57.3,45.4,995854.57
G,435400,502200,0.25819,36,9.9695,0.282775,141,0.06992,0.089915,0.142925,0.08344,999445.1033
G,435400,502200,8.2875,54.875,248.765,4.79505,21.2055,260,2.72815,3.6845,3.81075,999384.6271
G,435400,502200,14.7415,87.69,338.69,7.8455,33.4275,1.61385,5.098,5.6555,6.9425,999487.3587
G,435400,502200,620,18.9465,73.13,1.6912,7.1975,0.34841,1.10095,1.2186,1.5001,998844.8667
G,435400,502200,15.2035,920,166.4,5.761,82.685,58,7.202,15.898,24.5125,998274.338
G,435400,502200,360,1700,22.722,0.5064,1.9927,217,0.29253,0.42964,106,997021.0567
G,435400,502200,3.2696,15.4605,99.59,1.9283,8.532,0.78725,1.3631,1.27645,1.59905,999863.4153
G,435400,502200,1560,1870,35.536,0.6481,3.1416,72,0.403055,0.5554,95,995923.7158
G,435400,502200,3.1437,18.3155,87.335,2.1992,7.633,420,1.03925,1.55575,1.6911,999454.8898
G,435400,502200,26,601,500,366,116,92.4,2,61.8,99,997832.8
G,435400,502200,116,880,1310,430,104,52.5,0.64865,30.4,182,996583.4514
G,435400,502200,57,1150,920,450,230,81,0.21867,54,171,996567.7813
G,435400,502200,5.167,1700,150.37,3.2629,8.016,70,1.4616,1.8176,290,997419.9049
G,435400,502200,0.45087,920,2500,590,1.2706,70.7,0.161265,42,136,995394.4173
G,435400,502200,260,410,25.121,0.470825,710,31,0.22658,0.39655,42,997964.785
G,435400,502200,118,790,2050,750,320,50,6,34,94,995514
G,435400,502200,132,658,1400,305,225,56,5.3,30.3,88.6,996785.8
G,435400,502200,0.84005,1790,20.1675,1300,1060,86,0.26502,0.280735,65,995137.4467
G,435400,502200,290,970,35.148,0.7633,1000,43,0.37012,0.48933,0.64265,997249.5866
G,435400,502200,0.5167,2150,16600,0.290925,1370,174,16,149,212,978945.1924
G,435400,502200,1.2427,1160,2300,0.8004,2.85005,60,0.462355,66,107,995971.6445
G,435400,502200,244,530,112.995,2.29455,230,22.1,0.9898,1.8172,42,998396.8035
G,435400,502200,320,19.8905,126.14,2.2298,620,5.45,1.49735,1.9745,6.213,998456.6049
G,435400,502200,1.69365,11.5235,63.095,1.15035,4.89415,0.376815,0.53685,0.85195,1.06015,999424.8176
G,435400,502200,92,900,3640,0.667,680,93,0.354755,22.5,41.5,994106.9782
G,435400,502200,219,71,250,0.32222,483,7.2,0.17147,4.2,6.3,998565.8063
G,435400,502200,53.645,1097.95,20000,29.358,654.55,117.72,21.8165,35.3365,90.505,976071.569
G,435400,502200,2.28745,570,50.485,1.4204,590,28,0.7177,0.7135,0.7513,998470.6247
G,435400,502200,970,3200,258.045,5.901,25.4605,156,3.8949,4.75195,242,994853.9467
G,435400,502200,115,390,600,370,1.8172,23.1,6.7,11.4,111,998074.9828
G,435400,502200,1.3763,4900,43.2325,1.86065,3200,340,0.53335,0.87485,0.7183,990851.4041
G,435400,502200,350,25,60.05,38,210,0.27141,0.497575,2.3,1.09685,998622.7842
G,435400,502200,102,14.1,12.1295,10,105,7,0.187885,1.10745,2.34465,999444.1305
G,435400,502200,33,33.2,11.8,72,205,138,0.07919,4.55,4.2,999196.1708
G,435400,502200,318,2.4508,14.2565,16.1,114,4.2,0.16692,1.29,1.1438,999202.392
G,435400,502200,35,16.3355,31.8945,19,167,4.5,0.40571,1.85,3.2,999376.8143
G,435400,502200,17.6595,45,21.211,41,181,16.3,0.48,10.5,3.13335,999394.7162
G,435400,502200,151,36,10.335,17.4,69,21,0.10773,6.2,10.6,999271.3573
G,435400,502200,319,19.1,7.5505,12.2,60,18,0.075015,4.5,9,999157.5745
G,435400,502200,157,10.3,5.0715,26.6,45,15.4,0.05033,2.82,7.04,999317.7182
G,435400,502200,70.8,12.5,4.5211,31.8,77,5.8,0.063815,2.21,4.48,999468.8251
G,435400,502200,68,12.6,4.61645,10.6,98,7.9,0.065085,1.9,2.39,999459.9285
G,435400,502200,57,6,5.39,8.4,87,8,0.075915,1.49,0.142135,999482.502
G,435400,502200,67,17,13.774,22.6,0.9759,7.3,0.193775,1.42,2.8,999582.9363
G,435400,502200,1.6,18,2.8406,11.6,53,10.3,0.039919,2.82,2.8,999620.9995
G,435400,502200,168,26,9.91,14.5,46,4.5,0.139115,1.23,2.18,999349.5409
G,435400,502200,12.9,10.6,12.0905,18.2,35,23,0.101875,1.4,3.6,999561.1076
G,435400,502200,0.12514,15.6,4.2406,24.6,64,19,0.035693,3.78,4,999574.6186
G,435400,502200,96,10,7.9865,22.1,53,3.1,0.06715,1.52,2.5,999395.7264
G,435400,502200,0.128675,0.6474,4.35865,9.8,28.7,0.0262305,0.036607,0.051575,0.22,999659.0309
G,435400,502200,27,109,36.1,39.3,0.6075,15.8,0.74,4.6,95,999363.8525
G,435400,502200,1.59615,67,54.035,103,65,0.324515,0.45235,4.7,28,999245.892
G,435400,502200,47,49,43.5915,221,1.94855,33,0.36453,5.3,14.5,999254.2954
G,435400,502200,214,92,16.2115,46,41.2,10.4,0.18697,4.77,6.3,999138.9315
G,435400,502200,90,6.016,31.1325,1.17925,44,3.9,0.35867,0.6394,0.79485,999471.9793
G,435400,502200,202,2.36235,12.229,14.1,29.9,1.85,0.140735,0.57,0.66,999338.1879
G,435400,502200,89,14.9,6.093,13.7,33.7,0.86,0.070045,0.97,1.3,999467.407
G,435400,502200,247,8.8,5.6395,12.1,40,10.7,0.064765,3.5,6.9,999288.2957
G,435400,502200,100,22.4,7.118,28.4,33.7,9.8,0.08165,5.03,5.91,999394.5604
G,435400,502200,259,28,8.211,13.2,38.6,5,0.09409,2.5,4,999245.3949
H,455000,522700,687,14.3,3.10275,300,5.5,0.0235275,0.87,0.63,81.2,998538.3737
H,455000,522700,780,12.4,2.7323,71,10,0.013566,0.84,0.48,84,998665.5341
H,455000,522700,683,19.1,3.25875,218,2.6,0.0283775,0.25,0.271,48.9,998687.5919
H,455000,522700,743,17.2,3.8306,149,8.1,0.0355135,0.76,0.35,37,998623.7239
H,455000,522700,1220,15.8,2.59605,111,8.6,0.0237985,0.5,0.3,37,998146.1802
H,455000,522700,396,51,3.3487,979,9.3,0.027761,0.208,0.10044,31.8,998186.2151
H,455000,522700,648,28.3,2.39475,356,7.9,0.026904,1.19,0.89,137,998432.2983
H,455000,522700,544,18.3,2.95025,56,16.7,0.024657,0.91,0.41,46.8,999014.9051
H,455000,522700,892,306,2.3724,439,5.4,0.033059,0.0837,1.53,30.4,997846.1808
H,455000,522700,21.7,0.416715,2.50715,97,0.9453,0.04217,0.065905,0.094695,0.84,999646.3881
H,455000,522700,551,119,2.6994,320,5.1,0.0182075,0.67,0.47,50.3,998604.7424
H,455000,522700,1370,503,3.64675,142,8.5,1.82,0.42,2.19,105,997402.4233
H,455000,522700,247,21.6,2.43665,580,0.92325,4.18,0.083745,0.107585,5.49,998891.1788
H,455000,522700,142,14.3,2.3659,1120,0.77325,1.03,0.08224,0.188,10.6,998468.6606
H,455000,522700,590,300,3.47485,900,3.3,0.82,0.114405,0.3,16.3,997896.6907
H,455000,522700,1260,189,3.58895,676,7.1,2.51,0.068725,0.6,35.2,997466.9323
H,455000,522700,592,179,3.4349,280,4.4,0.062695,0.08547,0.33,13.7,998536.9869
H,455000,522700,562,214,3.9213,528,7.7,0.74,0.097415,0.49,81,998313.0513
H,455000,522700,577,306,3.3985,139,5.4,1.1,0.10603,0.10898,78,998578.8865
H,455000,522700,1310,207,3.1616,680,11.5,2.9,0.098475,0.68,155,997279.6599
H,455000,522700,492,415,3.13915,297,5.5,0.35,0.097615,0.65,57.9,998509.3632
H,455000,522700,670,407,2.98955,352,4.1,1.37,0.27,1.01,141,998161.2605
H,455000,522700,801,41,3.46055,1920,5.8,28.2,0.242,2.39,42.9,996724.0075
H,455000,522700,870,319,3.0798,347,7,2.57,0.28,0.32,45.1,998033.6502
H,455000,522700,2.74,0.9,2.7839,21.2,2.2,0.015486,0.0859,0.08943,0.15758,999757.8277
H,455000,522700,573,363,2.33425,440,4.7,2.07,0.0662,0.47,211,998066.3596
H,455000,522700,468,500,6.7,82.2,0.93935,0.044632,0.254,0.35,29.5,998637.012
H,455000,522700,2230,2080,5.3675,3770,12.4,0.073775,0.75,1.84,187,991227.5687
H,455000,522700,496,202,3.0804,617,0.88805,0.5,0.086875,0.109895,2.28,998431.0548
H,455000,522700,612,91,3.0549,311,0.87825,2.6,0.085965,0.542,9.6,998670.2389
H,455000,522700,435,666,3.5417,806,3.9,0.016362,0.33,0.406,216,997458.8059
H,455000,522700,738,561,1.22885,440,4.15,0.163,0.57,0.447,86,997733.4412
H,455000,522700,125.2,1160,1.2449,368,1.39,0.023,0.063,0.034,4.86,998025.1851
H,455000,522700,3490,644,1.3394,330,8.7,0.92,1.12,2.917,359,994495.0036
H,455000,522700,628,92,10.3,431,4.4,0.073,0.76,1,138,998329.467
H,455000,522700,521,86,2.2618,349,2.8,0,0.92,1.2,87,998665.8182
H,455000,522700,412,54,8.5,188,0.403805,0,0.77,0.84,83.6,998945.8862
H,455000,522700,745,147,86,462,1.3,0.091,0.287,0.61,101,998123.712
H,455000,522700,1070,21.6,40,93,2.48,1.82,0.18,0.106,14.6,998449.214
H,455000,522700,504,700,13.5,304,2.46,1.41,0.063,0.166,11,998151.401
H,455000,522700,810,590,0.9118,101,3.8,3.5,0.183,0.435,65,998081.1702
H,455000,522700,546,139,29.1,398,2.8,2.54,0.16,0.144,26.1,998534.156
H,455000,522700,887,438,45,321,2.05,1.64,0.225,0.659,42.4,997928.026
H,455000,522700,1040,1040,0.8873,380,1.81,0.29,0.091,0.329,18.6,997165.9927
H,455000,522700,1580,337,36,345,5.7,0.25,0.32,0.268,67,996919.462
H,455000,522700,220,280,0.8784,303,1.07,0.182,0.87,0.0017386,76,998806.878
H,455000,522700,454,164,0.8784,692,2.9,0.050595,0.12257,0.0017386,7.3,998324.6268
H,455000,522700,298,73,0.8784,1110,4.3,0.072085,0.182925,0.0017386,36.626,998031.819
H,455000,522700,281,97,0.8784,633,2.64,0.46,0.137,0.0017386,5.4,998655.363
H,455000,522700,1190,410,0.8784,64,1.45,0.096,0.36,0.0017386,15.1,997830.994
H,455000,522700,73,6.5,0.8784,335,2.06,0.71385,0.0299125,0.0017386,3.16,999337.5362
H,455000,522700,281,7.303,0.8784,581,2.03,0.95,0.050115,0.0017386,7.2,998834.4669
H,455000,522700,340,413,0.8784,243,3.68,1.81,0.0493885,0.0017386,11.6,998601.8606
H,455000,522700,378,87,0.8784,98.9,1.67,1.58,0.41,0.0017386,44.5,999091.94
H,455000,522700,349,1670,0.8784,81,0.73,0.38,0.348,0.0017386,72,997518.542
H,455000,522700,329,760,0.8784,395,1.01,0.0196585,0.33,0.0017386,24.1,998216.5403
H,455000,522700,105,27.2,0.8784,265,0.68,0.48,0.0482205,0.0017386,7.1,999318.4918
