Formation,Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry,Unnamed: 14,Sum,Prediction,Probability_A,Probability_B,Probability_C,Probability_D,Probability_E,Probability_F,Probability_G,Probability_H
Lucan,B,440400,519700,57.0,90.0,22.0825,16.5,19.4,2.6,0.44876499999999997,1.07,9.4,999411.498735,,960318.501265,F,0.20694780688439857,0.13872177827394502,0.24407796911500915,0.0017266150446571355,0.008657088912755044,0.2699395502691595,0.08998717023430607,0.03994202126576949
Lucan,B,440400,519700,5.6,101.0,68.0,71.0,19.8,4.9,4.4,5.9,80.0,999384.4,,960460.6,B,0.15839722174380433,0.33809435354257217,0.14073920096940404,0.0016166000012661102,0.012941397215513717,0.22841945228411023,0.08435770068549556,0.03543407355783393
Lucan,B,440400,519700,10.58,172.9,34.7,71.7,5.52,15.2,3.61,6.99,158.4,999273.4,,960579.6,B,0.11538878503487028,0.34093654967614134,0.23048869256189386,0.001633726700057523,0.014769182573702357,0.216519381134124,0.052921288159345305,0.027342394159865308
Lucan,B,440400,519700,7.8,148.0,12.6,21.1,50.5,49.0,0.27,2.91,62.0,999405.82,,960454.18,C,0.20729417432076072,0.16138585701254055,0.2898285942587203,0.0014315970012102534,0.008277471149435188,0.2367086928220661,0.08022717335329997,0.01484644008196684
Lucan,B,440400,519700,107.9,165.0,32.0,72.2,54.0,11.4,2.9,4.6,224.0,999045.0,,960774.0,B,0.08994504136276213,0.27576810995574674,0.2733284320735963,0.002123839593432479,0.020153728364438517,0.25442783422403603,0.04420296765035387,0.040050046775633986
Lucan,B,440400,519700,21.9,94.0,28.0,9.1,65.0,4.0,0.58,1.04,35.0,999509.38,,960358.62,C,0.22350490704167475,0.15047321039024866,0.2593877433192623,0.0016271096326477812,0.01004683151189128,0.2352814235843732,0.08759386067879528,0.03208491384110676
Lucan,B,440400,519700,41.0,322.0,107.0,140.0,14.0,15.0,7.36,15.52,673.0,998315.12,,961434.88,B,0.005314351783963531,0.5405632487895559,0.32844247961003425,0.001076581810567606,0.04945340630697155,0.061541617328559714,0.0027266305895584843,0.010881683780788935
Lucan,B,440400,519700,129.0,970.0,243.0,233.0,103.0,65.7,8.7,10.3,503.0,997284.3,,962365.7,B,0.010660961199547996,0.7540146684697856,0.058227277394469416,0.0017648636899841314,0.010818940646405437,0.13750913672135173,0.01360861072351533,0.013395541154940464
Lucan,B,440400,519700,2.3,8.6,179.0,271.0,1.70125,8.9,0.31214000000000003,2.89,44.7,999261.59661,,960619.40339,C,0.18757283097816524,0.1504278109999199,0.32193907342996747,0.001515847809688349,0.010248708031286793,0.23347414109778108,0.06340952572058324,0.031412061932607864
Lucan,B,440400,519700,9.3,28.2,99.0,193.0,2.16,38.6,1.13,6.1,131.0,999204.51,,960608.49,C,0.14164173255390505,0.19556187300318287,0.352340320251887,0.001452667883413943,0.012870327138901794,0.22776486526573755,0.04965962974538777,0.018708584157584175
Lucan,B,440400,519700,238.0,2010.0,67.0,156.0,96.4,93.6,18.9,23.8,450.0,996481.3,,963253.7,B,0.003170644142822018,0.8128819599113584,0.00048558138175306255,0.0016519849138081249,0.0015530333020517821,0.14179077243508215,0.024169632922674003,0.014296390990450507
Lucan,B,440400,519700,9.0,225.0,31.0,303.0,27.2,13.6,1.4,4.7,80.0,999013.1,,960794.9,C,0.16714665405750326,0.2237453470329121,0.25996507440715894,0.0017377218091134974,0.01052791224362147,0.246078816799167,0.05685620473485941,0.033942268915664424
Lucan,B,440400,519700,26.1,613.0,75.0,209.0,35.9,94.7,8.3,23.8,208.0,998404.2,,961393.8,B,0.07259604767603596,0.5570920666166085,0.04657641541733162,0.0014530186407540149,0.006738959213836526,0.24279484774960103,0.06261764568161603,0.010130999004216396
Lucan,B,440400,519700,14.5,237.0,40.0,63.4,24.8,32.0,2.5,6.9,72.0,999246.9,,960593.1,F,0.17567058418554451,0.25454342249272477,0.19782719485866396,0.0016307471992453282,0.008844552482616147,0.25488690908348116,0.08323273488221464,0.023363854815509646
Lucan,B,440400,519700,250.0,1040.0,0.8784,570.0,28.7,33.0,11.5,11.2,135.2,997382.4,,962180.4784,B,0.02274103521578392,0.587427527224911,0.0027379278829972173,0.001993913295910614,0.002874307158602326,0.2623542947549164,0.04813224889822138,0.07173874556865714
Lucan,B,440400,519700,191.0,793.0,0.8784,238.0,51.7,32.7,10.71,9.67,127.0,998119.22,,961554.6584,B,0.040638705392474904,0.5760258693849728,0.0056422042723967515,0.0018391253829995319,0.004328998474744046,0.24751872715913606,0.07458434639245438,0.04942202354082161
Lucan,B,440400,519700,143.0,2230.0,0.8784,271.0,78.0,136.3,19.3,29.45,192.0,996350.95,,963199.9284,B,0.012840112044472194,0.6717997135165757,0.00016415784116094378,0.0015394445924791892,0.00044177055506400764,0.2138278211721236,0.08955362377950776,0.009833356498616481
Lucan,B,440400,519700,220.0,570.0,0.8784,24.0,27.0,41.0,3.0,23.391,98.0,998493.609,,961107.2694,F,0.11560692844096485,0.14274658857001285,0.11368751295519157,0.002687746165965923,0.005225843196590782,0.48330504340554703,0.08834367005613096,0.04839666720959607
Lucan,B,440400,519700,95.625,82.0,0.8784,65.1,22.3,50.4,2.0,4.8,68.4,999301.375,,960491.5034,F,0.17252947050281955,0.19416986515874668,0.1912952974148149,0.001757864182748331,0.009893211196744233,0.3144206579919166,0.0913059474877773,0.024627686064432396
Lucan,B,440400,519700,14.3,118.0,0.8784,97.2,44.5,36.0,10.9125,4.84,79.1,999363.1475,,960505.7309,B,0.09677228668816854,0.5794764024376313,0.011984668793002149,0.0011298623206165241,0.010926085881180065,0.16688721895614914,0.10973919384925251,0.023084281073999756
Lucan,B,440400,519700,24.99,195.0,0.8784,330.0,12.0,10.4,1.65,12.1,285.0,998827.09,,960972.0184,C,0.06385738903109867,0.22627945504337552,0.46273029409698463,0.0016026513481581456,0.021212989484472408,0.1815465131675516,0.01644204633391679,0.02632866149444239
Lucan,B,440400,519700,76.7,254.0,0.8784,222.0,15.7,18.3,2.73,7.1,242.0,998847.47,,960939.4084,C,0.0726185765343881,0.30195185593802293,0.3092416777665663,0.0019369309695529636,0.017969679511068565,0.23353524151628044,0.02950670422393121,0.033239333540189465
Lucan,B,440400,519700,9.1,161.0,0.8784,80.3,15.8,12.8,2.91,5.72,117.0,999356.37,,960505.5084,B,0.1441912695897367,0.2930395719530383,0.23057907117573995,0.0016460944224746929,0.013300651271300297,0.2266113643225659,0.061288653445138584,0.02934332382000568
Lucan,B,440400,519700,8.0,33.764,0.8784,44.1,7.4,13.8,1.04,3.6952,99.4,999566.8008,,960312.0776,C,0.16187871841335116,0.1901000570143092,0.3332022870930904,0.0014950931763992475,0.013161581239698057,0.21796363696511428,0.057125940792177435,0.025072685305860123
Lucan,B,440400,519700,8.32,507.0,0.8784,17.0,21.3,35.6,0.38,1.82,25.2,999135.38,,960717.4984,F,0.19354088323259105,0.20756949603935274,0.2314153462374947,0.0016713173915706022,0.004651335968638347,0.2549124368934853,0.0860177241947941,0.020221460042073276
Lucan,B,440400,519700,75.0,1300.0,130.0,250.0,40.0,34.0,9.0,14.4,99.0,997781.6,,962051.4,B,0.05711522421609576,0.5759503321306516,0.011441688393504994,0.0019389464131470834,0.0019023868676425314,0.2396172118090644,0.0785836219500978,0.03345058821979584
Lucan,B,440400,519700,65.1,1800.0,216.0,182.0,58.0,40.4,10.5,24.7,187.0,997071.3,,962683.7,B,0.03305089360504084,0.6439164120354933,0.008479560370251842,0.0020943368176904098,0.0011497284451571284,0.2250323314949678,0.060418485066523545,0.02585825216487518
Lucan,B,440400,519700,132.0,2300.0,57.81,320.0,7.5505,1.56065,17.0,0.0,6.382000000000001,996717.69685,,962942.30315,B,0.017982291206760398,0.6036824531895334,0.0001697979789588287,0.0021314357359907025,0.00035432708817156546,0.1858084220337867,0.10812056483175833,0.08175070793504002
Lucan,B,440400,519700,20.55,638.0,178.0,193.0,92.0,22.6,10.043,16.6,322.0,998224.207,,961592.793,B,0.03626555324978101,0.7064392335411765,0.038621483224955476,0.0015624287088792774,0.013100355862604341,0.14607606070469123,0.03461805463255188,0.023316830075360326
Lucan,B,440400,519700,100.8,2204.0,164.0,263.0,61.8,155.0,16.5,39.1,339.0,996131.8,,963443.2,B,0.00992025740598913,0.7270555768862662,0.0012185548545326735,0.0015521324514463281,0.0006587505866837924,0.20961683949489796,0.04501923319434076,0.004958655125843233
Lucan,B,440400,519700,2.17325,12.485999999999999,53.9,2.7432,8.636000000000001,0.50815,0.6275,0.0,1.0099,999916.2559,,960182.084,C,0.22502632270478967,0.15799165384297204,0.2638195240361872,0.0014511097768148274,0.009324647840094449,0.22221901123206822,0.08978916379123664,0.030378566775837015
Lucan,B,440400,519700,31.5,840.0,123.0,311.0,65.0,112.0,12.2,21.0,530.0,997569.3,,962145.7,B,0.009595376385686874,0.8224753101998177,0.031215338381719984,0.0011215724697875517,0.012863067328598593,0.10588255072179137,0.012118886610621302,0.0047278979019765
Lucan,B,440400,519700,35.5,482.0,195.0,191.0,82.0,135.0,8.0,30.4,205.0,998328.1,,961463.9,B,0.10044597695051992,0.45908584238895467,0.04971957919461381,0.0013771468670529727,0.006426083244547574,0.2868110270947296,0.09044401086615599,0.005690333393425486
Lucan,B,440400,519700,8.0,18.042,43.1135,1100.0,5.6305,4.3649,0.7752,3.0,289.0,998178.0739,,961571.9261,C,0.0496271649105288,0.23042123623467747,0.4852753230066631,0.0015159654705562706,0.03120647515341574,0.15360278217562903,0.007021195640079696,0.041329857408449897
